level,kode_lengkap,nama_item,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.03.003,Mesin Pemotong Rumput,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.03.004,Mesin Cuci,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.03.005,Air Cleaner,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.03.006,Alat Pembersih Salju,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.02.04,ALAT PENDINGIN,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.001,Lemari Es,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.002,AC Sentral,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.003,AC Window,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.004,AC Split,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.005,Portable Air Conditioner (Alat Pendingin),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.006,Kipas Angin,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.007,Exhaust Fan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.008,Cold Storage (Alat Pendingin),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.009,Reach In Freezer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.010,Reach In Chiller,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.011,Up Right Chiller/Freezer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.012,Cold Room Freezer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.013,Air Curtain,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.04.014,Air Handling Unit,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.02.05,ALAT DAPUR,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.001,Kompor Listrik (Alat Dapur),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.002,Kompor Gas (Alat Dapur),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.003,Kompor Minyak,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.004,Teko Listrik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.005,Rice Cooker (Alat Dapur),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.006,Oven Listrik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.007,Rice Warmer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.008,Kitchen Set,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.009,Tabung Gas,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.010,Mesin Giling Bumbu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.011,Treng Air/Tandon Air/Toren,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.012,Mesin Parutan Kelapa,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.013,Kompor Kompresor,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.014,Alat Pemanggang Roti/Sate,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.015,Rak Piring Alumunium,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.016,Alat Penyimpan Beras,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.017,Panci,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.018,Blender,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.019,Mixer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.020,Oven Gas,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.021,Presto Cooker,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.022,Wonder Pan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.023,Mesin Giling Daging,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.024,Heating Set,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.05.025,Thermos Air,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.02.06,ALAT RUMAH TANGGA LAINNYA (HOME USE),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.001,Radio,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.002,Televisi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.003,Video Cassette,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.004,Tape Recorder (Alat Rumah Tangga Lainnya (Home Use)),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.005,Amplifier,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.006,Equalizer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.007,Loudspeaker,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.008,Sound System,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.009,Compact Disc,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.010,Laser Disc,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.011,Karaoke,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.012,Wireless,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.013,Megaphone,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.014,Microphone,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.015,Microphone Floor Stand,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.016,Microphone Table Stand,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.017,Mic Conference,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.018,Unit Power Suply,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.019,Step Up/Down (Alat Rumah Tangga Lainnya (Home Use)),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.020,Stabilisator,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.021,Camera Video,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.022,Camera Film,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.023,Tustel,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.024,Mesin Jahit,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.025,Timbangan Orang,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.026,Timbangan Barang,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.027,Alat Hiasan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.028,Lambang Garuda Pancasila,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.029,Gambar Presiden/Wakil Presiden,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.030,Lambang Korpri/Dharma Wanita,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.031,Aquarium (Alat Rumah Tangga Lainnya (Home Use)),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.032,Tiang Bendera,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.033,Pataka,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.034,Seterika,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.035,Water Filter,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.036,Tangga Alumunium,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.037,Kaca Hias,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.038,Dispenser,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.039,Mimbar/Podium,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.040,Gucci,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.041,Tangga Hidrolik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.042,Palu Sidang,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.043,Mesin Pengering Pakaian,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.044,Lambang Instansi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.045,Lonceng/Genta,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.046,Mesin Pemotong Keramik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.047,Coffe Maker,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.048,Handy Cam,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.049,Mesin Obras,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.050,Mesin Potong Kain,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.051,Mesin Pelubang Kancing,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.052,Meja Potong,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.053,Rader,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.054,Manequin (Boneka),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.055,Mini Compo,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.056,Heater (Alat Rumah Tangga Lainnya (Home Use)),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.057,Karpet,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.058,Vertikal Blind,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.059,Gordyin/Kray,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.060,Asbak Tinggi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.061,Sun Screen,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.062,Alat Pemanas Ruangan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.063,Lemari Plastik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.064,Mesin Pengering Tangan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.065,Panggung,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.066,Mesin Pedding,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.067,DVD Player,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.068,Tangga,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.069,Lampu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.070,Jemuran,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.071,Patung Peraga Pakaian,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.072,Gendola,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.073,Alat Pangkas Rambut Listrik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.074,Bracket Standing Peralatan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.075,Tangki Air,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.06.076,Home Theater,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.02.07,ALAT PEMADAM KEBAKARAN,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.05.03,MEJA DAN KURSI KERJA/RAPAT PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.03.01,MEJA KERJA PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.03.02,MEJA RAPAT PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.03.03,KURSI KERJA PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.03.04,KURSI RAPAT PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.03.05,KURSI HADAP DEPAN MEJA KERJA PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.03.06,KURSI TAMU DI RUANGAN PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.03.07,LEMARI DAN ARSIP PEJABAT,,,,,,,,,,,,,,,,,,,,,,,
4,1.3.2.06,"ALAT STUDIO, KOMUNIKASI DAN PEMANCAR",,,,,,,,,,,,,,,,,,,,,,,.
5,1.3.2.06.01,ALAT STUDIO,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.01.01,PERALATAN STUDIO AUDIO,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.01.02,PERALATAN STUDIO VIDEO DAN FILM,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.01.03,PERALATAN STUDIO GAMBAR,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.01.04,PERALATAN CETAK,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.01.05,PERALATAN STUDIO PEMETAAN/PERALATAN UKUR TANAH,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.01.06,ALAT STUDIO LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.06.02,ALAT KOMUNIKASI,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.01,ALAT KOMUNIKASI TELEPHONE,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.02,ALAT KOMUNIKASI RADIO SSB,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.03,ALAT KOMUNIKASI RADIO HF/FM,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.04,ALAT KOMUNIKASI RADIO VHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.05,ALAT KOMUNIKASI RADIO UHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.06,ALAT KOMUNIKASI SOSIAL,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.07,ALAT-ALAT SANDI,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.08,ALAT KOMUNIKASI KHUSUS,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.09,ALAT KOMUNIKASI DIGITAL DAN KONVENSIONAL,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.10,ALAT KOMUNIKASI SATELIT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.02.11,ALAT KOMUNIKASI LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.06.03,PERALATAN PEMANCAR,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.01,PERALATAN PEMANCAR MF/MW,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.02,PERALATAN PEMANCAR HF/SW,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.03,PERALATAN PEMANCAR VHF/FM,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.04,PERALATAN PEMANCAR UHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.05,PERALATAN PEMANCAR SHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.06,PERALATAN ANTENA MF/MW,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.07,PERALATAN ANTENA HF/SW,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.08,PERALATAN ANTENA VHF/FM,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.09,PERALATAN ANTENA UHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.10,PERALATAN ANTENA SHF/PARABOLA,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.11,PERALATAN TRANSLATOR VHF/VHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.12,PERALATAN TRANSLATOR UHF/UHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.13,PERALATAN TRANSLATOR VHF/UHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.14,PERALATAN TRANSLATOR UHF/VHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.15,PERALATAN MICROWAVE FPU,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.16,PERALATAN MICROWAVE TERESTRIAL,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.17,PERALATAN MICROWAVE TVRO,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.18,PERALATAN DUMMY LOAD,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.19,SWITCHER ANTENA,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.20,SWITCHER/MENARA ANTENA,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.21,FEEDER,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.22,HUMIDITY CONTROL,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.23,PROGRAM INPUT EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.24,PERALATAN ANTENA PENERIMA VHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.25,PERALATAN PEMANCAR LF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.26,UNIT PEMANCAR MF+HF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.27,PERALATAN ANTENA PEMANCAR MF+HF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.28,PERALATAN PENERIMA,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.29,PERALATAN PEMANCAR DAN PENERIMA LF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.30,PERALATAN PEMANCAR DAN PENERIMA MF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.31,PERALATAN PEMANCAR DAN PENERIMA HF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.32,PERALATAN PEMANCAR DAN PENERIMA MF+HF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.33,PERALATAN PEMANCAR DAN PENERIMA VHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.34,PERALATAN PEMANCAR DAN PENERIMA UHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.35,PERALATAN PEMANCAR DAN PENERIMA SHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.36,PERALATAN ANTENA PEMANCAR DAN PENERIMA LF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.37,PERALATAN ANTENA PEMANCAR DAN PENERIMA MF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.38,PERALATAN ANTENA PEMANCAR DAN PENERIMA HF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.39,PERALATAN ANTENA PEMANCAR DAN PENERIMA MF+HF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.40,PERALATAN ANTENA PEMANCAR DAN PENERIMA VHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.41,PERALATAN ANTENA PEMANCAR DAN PENERIMA UHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.42,PERALATAN ANTENA PEMANCAR DAN PENERIMA SHF,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.43,PERALATAN PENERIMA CUACA CITRA SATELITE RESOLUSI RENDAH,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.44,PERALATAN PENERIMA CUACA CITRA SATELITE RESOLUSI TINGGI,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.45,PERALATAN PENERIMA DAN PENGIRIM GAMBAR KE PERMUKAAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.46,PERALATAN PERLENGKAPAN RADIO,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.47,SUMBER TENAGA,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.03.48,PERALATAN PEMANCAR LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.06.04,PERALATAN KOMUNIKASI NAVIGASI,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.04.01,PERALATAN KOMUNIKASI NAVIGASI INSTRUMEN LANDING SYSTEM,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.04.02,VERY HIGH FREQUENCE OMNI RANGE (VOR),,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.04.03,DISTANCE MEASURING EQUIPMENT (DME),,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.04.04,RADAR,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.04.05,ALAT PENGATUR TELEKOMUNIKASI,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.04.06,PERALATAN KOMUNIKASI UNTUK DOKUMENTASI,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.06.04.07,PERALATAN KOMUNIKASI NAVIGASI LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
4,1.3.2.10,KOMPUTER,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.10.01,KOMPUTER UNIT,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.10.01.01,KOMPUTER JARINGAN,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.01.001,Mainframe (Komputer Jaringan),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.01.002,Mini Komputer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.01.003,Local Area Network (LAN),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.01.004,Internet,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.01.005,Komputer Wedis,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.01.006,Komputer Synergie,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.01.007,PC Workstation,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.10.01.02,PERSONAL KOMPUTER,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.001,PC Unit,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.002,Laptop,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.003,Note Book,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.004,Palm Top,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.005,Code Breaker Super Komputer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.006,Thinclient,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.007,Net Book,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.008,Ultra Mobile PC,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.01.02.009,Tablet PC,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.10.01.03,KOMPUTER UNIT LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.10.02,PERALATAN KOMPUTER,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.10.02.01,PERALATAN MAINFRAME,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.001,Card Reader (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.002,Magnetic Tape Unit (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.003,Floppy Disk Unit (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.004,Storage Modul Disk (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.005,Console Unit (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.006,CPU (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.007,Disk Pack (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.008,Hard Copy Console,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.009,Serial Printer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.010,Line,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.011,Plotter (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.012,Hard Disk,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.013,Keyboard (Peralatan Mainframe),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.014,Steamer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.015,Data Patch Panel,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.016,Paper Tape Reader,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.01.017,Panaboard,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.10.02.02,PERALATAN MINI KOMPUTER,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.001,Card Reader (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.002,Magnetic Tape Unit (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.003,Floppy Disk Unit (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.004,Storage Modul Disk (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.005,Console Unit (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.006,CPU (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.007,Disk Pack (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.008,Plotter (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.009,Scanner (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.010,Computer Compatible,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.011,Viewer (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.012,Digitizer (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.013,Keyboard (Peralatan Mini Komputer),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.014,Auto Switch/Data Switch,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.015,Cut Sheet Feeder,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.10.02.02.016,Speaker Komputer,,,,,,,,,,,,,,,,,,,,,,,
